src,dst
57778,178217
36455,96858
21472,129310
208615,118228
92611,132093
160609,111568
17949,189272
43160,5327
133431,47369
9737,53989
140053,177211
169132,78641
154100,132093
4089,187637
91564,131558
216099,70263
61195,162180
127703,171714
36455,24064
136036,152938
13386,180249
59799,69656
206704,18736
86130,86900
137491,58652
2202,177211
89664,20311
50569,199774
135661,95324
173848,12397
202273,145250
148859,182067
198855,71000
69485,212151
4089,187637
35589,4195
132654,125967
112689,181879
197321,185054
188674,27741
21758,181613
2066,84867
2066,79579
183325,39985
80732,163119
80732,163119
41314,107950
120139,107545
17409,69656
172072,159670
138640,16462
86115,211666
211666,86115
207355,9737
7919,199241
203615,109582
182067,37542
180683,180962
193006,136463
83748,212517
37426,206704
177874,172072
132382,65420
47369,64477
181879,21075
111992,6314
128451,109582
74126,161632
60338,40126
130438,24303
26531,137356
121800,26531
26531,137356
86935,7463
20311,114640
59730,114640
146169,145680
131205,192835
154100,132093
116144,137277
211307,208615
57778,178217
119060,83369
94282,14949
29984,50203
119198,187508
170126,128451
187508,21472
192835,131205
69656,17409
135175,190212
76397,96858
96858,76397
68190,9215
173848,208269
131205,192835
66819,17545
16573,110491
1529,215041
34017,38726
37426,206704
163150,75999
43320,40587
180614,143590
196725,179686
106914,127703
114640,20311
30377,7543
39985,47369
4000,159430
17409,69656
47671,174671
194603,27741
126700,170126
170126,126700
99988,208269
125967,132654
20311,59730
141171,162458
69830,204268
102960,179714
201956,52145
98198,177211
69656,59799
180440,87124
162458,202273
120139,107545
34017,136036
96858,24064
75451,131163
111742,47369
153142,93689
20055,198796
82347,18645
172736,67048
67048,172736
3609,162162
50777,77574
54500,67572
150291,99988
68967,114919
91790,59799
24903,201369
113490,136036
35495,92790
87738,111624
111624,116204
43320,34464
14289,4195
43320,100455
40587,43320
20311,170294
72938,208208
208208,72938
23685,123536
94838,86695
98134,124698
180614,121945
127441,88107
12147,175678
127036,160045
103104,107545
183458,24376
18434,93403
193483,18434
104231,876
99678,145576
202825,198855
190458,146513
213008,139058
59799,40843
20311,89664
202273,145250
81889,137277
118192,9737
170286,112865
135380,136921
135380,136921
204268,69830
92790,27380
131205,192835
91790,129386
20743,133234
